
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 101, Time: 0.124512, Systemstep: 0.000732422

Begin Step 102, Time: 0.125244, Systemstep: 0.000732422

Begin Step 103, Time: 0.125977, Systemstep: 0.000732422

Begin Step 104, Time: 0.126709, Systemstep: 0.000732422

Begin Step 105, Time: 0.127441, Systemstep: 0.000732422

Begin Step 106, Time: 0.128174, Systemstep: 0.000732422

Begin Step 107, Time: 0.128906, Systemstep: 0.000732422

Begin Step 108, Time: 0.129639, Systemstep: 0.000732422

Begin Step 109, Time: 0.130371, Systemstep: 0.000732422

Begin Step 110, Time: 0.131104, Systemstep: 0.000732422

Begin Step 111, Time: 0.131836, Systemstep: 0.000732422

Begin Step 112, Time: 0.132568, Systemstep: 0.000732422

Begin Step 113, Time: 0.133301, Systemstep: 0.000732422

Begin Step 114, Time: 0.134033, Systemstep: 0.000732422

Begin Step 115, Time: 0.134766, Systemstep: 0.000732422

Begin Step 116, Time: 0.135498, Systemstep: 0.000732422

Begin Step 117, Time: 0.13623, Systemstep: 0.000732422

Begin Step 118, Time: 0.136963, Systemstep: 0.000732422

Begin Step 119, Time: 0.137695, Systemstep: 0.000732422

Begin Step 120, Time: 0.138428, Systemstep: 0.000732422

Begin Step 121, Time: 0.13916, Systemstep: 0.000732422

Begin Step 122, Time: 0.139893, Systemstep: 0.000732422

Begin Step 123, Time: 0.140625, Systemstep: 0.000732422

Begin Step 124, Time: 0.141357, Systemstep: 0.000732422

Begin Step 125, Time: 0.14209, Systemstep: 0.000732422

Begin Step 126, Time: 0.142822, Systemstep: 0.000732422

Begin Step 127, Time: 0.143555, Systemstep: 0.000732422

Begin Step 128, Time: 0.144287, Systemstep: 0.000732422

Begin Step 129, Time: 0.14502, Systemstep: 0.000732422

Begin Step 130, Time: 0.145752, Systemstep: 0.000732422

Begin Step 131, Time: 0.146484, Systemstep: 0.000732422

Begin Step 132, Time: 0.147217, Systemstep: 0.000732422

Begin Step 133, Time: 0.147949, Systemstep: 0.000732422

Begin Step 134, Time: 0.148682, Systemstep: 0.000732422

Begin Step 135, Time: 0.149414, Systemstep: 0.000732422

Begin Step 136, Time: 0.150146, Systemstep: 0.000732422

Begin Step 137, Time: 0.150879, Systemstep: 0.000732422

Begin Step 138, Time: 0.151611, Systemstep: 0.000732422

Begin Step 139, Time: 0.152344, Systemstep: 0.000732422

Begin Step 140, Time: 0.153076, Systemstep: 0.000732422

Begin Step 141, Time: 0.153809, Systemstep: 0.000732422

Begin Step 142, Time: 0.154541, Systemstep: 0.000732422

Begin Step 143, Time: 0.155273, Systemstep: 0.000732422

Begin Step 144, Time: 0.156006, Systemstep: 0.000732422

Begin Step 145, Time: 0.156738, Systemstep: 0.000732422

Begin Step 146, Time: 0.157471, Systemstep: 0.000732422

Begin Step 147, Time: 0.158203, Systemstep: 0.000732422

Begin Step 148, Time: 0.158936, Systemstep: 0.000732422

Begin Step 149, Time: 0.159668, Systemstep: 0.000732422

Begin Step 150, Time: 0.1604, Systemstep: 0.000732422

Begin Step 151, Time: 0.161133, Systemstep: 0.000732422

Begin Step 152, Time: 0.161865, Systemstep: 0.000732422

Begin Step 153, Time: 0.162598, Systemstep: 0.000732422

Begin Step 154, Time: 0.16333, Systemstep: 0.000732422

Begin Step 155, Time: 0.164062, Systemstep: 0.000732422

Begin Step 156, Time: 0.164795, Systemstep: 0.000732422

Begin Step 157, Time: 0.165527, Systemstep: 0.000732422

Begin Step 158, Time: 0.16626, Systemstep: 0.000732422

Begin Step 159, Time: 0.166992, Systemstep: 0.000732422

Begin Step 160, Time: 0.167725, Systemstep: 0.000732422

Begin Step 161, Time: 0.168457, Systemstep: 0.000732422

Begin Step 162, Time: 0.169189, Systemstep: 0.000732422

Begin Step 163, Time: 0.169922, Systemstep: 0.000732422

Begin Step 164, Time: 0.170654, Systemstep: 0.000732422

Begin Step 165, Time: 0.171387, Systemstep: 0.000732422

Begin Step 166, Time: 0.172119, Systemstep: 0.000732422

Begin Step 167, Time: 0.172852, Systemstep: 0.000732422

Begin Step 168, Time: 0.173584, Systemstep: 0.000732422

Begin Step 169, Time: 0.174316, Systemstep: 0.000732422

Begin Step 170, Time: 0.175049, Systemstep: 0.000732422

Begin Step 171, Time: 0.175781, Systemstep: 0.000732422

Begin Step 172, Time: 0.176514, Systemstep: 0.000732422

Begin Step 173, Time: 0.177246, Systemstep: 0.000732422

Begin Step 174, Time: 0.177979, Systemstep: 0.000732422

Begin Step 175, Time: 0.178711, Systemstep: 0.000732422

Begin Step 176, Time: 0.179443, Systemstep: 0.000732422

Begin Step 177, Time: 0.180176, Systemstep: 0.000732422

Begin Step 178, Time: 0.180908, Systemstep: 0.000732422

Begin Step 179, Time: 0.181641, Systemstep: 0.000732422

Begin Step 180, Time: 0.182373, Systemstep: 0.000732422

Begin Step 181, Time: 0.183105, Systemstep: 0.000732422

Begin Step 182, Time: 0.183838, Systemstep: 0.000732422

Begin Step 183, Time: 0.18457, Systemstep: 0.000732422

Begin Step 184, Time: 0.185303, Systemstep: 0.000732422

Begin Step 185, Time: 0.186035, Systemstep: 0.000732422

